Candidato,Ipsos,Canal,Entrevistas,Fecha 1,Fecha 2
AB,0.012,TV Peru,3,1/01/2021,14/03/2021
AB,0.012,Panam,1,1/01/2021,14/03/2021
AB,0.012,America,0,1/01/2021,14/03/2021
MA,0.007,Canal N,4,1/01/2021,14/03/2021
RS,0.007,Canal N,0,1/01/2021,14/03/2021
MA,0.007,Williax,1,1/01/2021,14/03/2021
RS,0.007,Williax,1,1/01/2021,14/03/2021
MA,0.007,RPP,2,1/01/2021,14/03/2021
RS,0.007,RPP,2,1/01/2021,14/03/2021
MA,0.007,ATV,1,1/01/2021,14/03/2021
RS,0.007,ATV,2,1/01/2021,14/03/2021
MA,0.007,Latina,0,1/01/2021,14/03/2021
RS,0.007,Latina,0,1/01/2021,14/03/2021
MA,0.007,TV Peru,2,1/01/2021,14/03/2021
RS,0.007,TV Peru,1,1/01/2021,14/03/2021
MA,0.007,Panam,1,1/01/2021,14/03/2021
RS,0.007,Panam,1,1/01/2021,14/03/2021
MA,0.007,America,0,1/01/2021,14/03/2021
RS,0.007,America,0,1/01/2021,14/03/2021
JV,0.003,Canal N,1,1/01/2021,14/03/2021
CG,0.003,Canal N,0,1/01/2021,14/03/2021
JV,0.003,Williax,1,1/01/2021,14/03/2021
CG,0.003,Williax,0,1/01/2021,14/03/2021
JV,0.003,RPP,2,1/01/2021,14/03/2021
CG,0.003,RPP,1,1/01/2021,14/03/2021
JV,0.003,ATV,1,1/01/2021,14/03/2021
CG,0.003,ATV,0,1/01/2021,14/03/2021
JV,0.003,Latina,0,1/01/2021,14/03/2021
CG,0.003,Latina,0,1/01/2021,14/03/2021
JV,0.003,TV Peru,0,1/01/2021,14/03/2021
CG,0.003,TV Peru,1,1/01/2021,14/03/2021
JV,0.003,Panam,0,1/01/2021,14/03/2021
CG,0.003,Panam,0,1/01/2021,14/03/2021
JV,0.003,America,0,1/01/2021,14/03/2021
CG,0.003,America,0,1/01/2021,14/03/2021
AA,0.002,Canal N,0,1/01/2021,14/03/2021
AA,0.002,Williax,0,1/01/2021,14/03/2021
AA,0.002,RPP,0,1/01/2021,14/03/2021
AA,0.002,ATV,2,1/01/2021,14/03/2021
AA,0.002,Latina,0,1/01/2021,14/03/2021
AA,0.002,TV Peru,0,1/01/2021,14/03/2021
AA,0.002,Panam,0,1/01/2021,14/03/2021
AA,0.002,America,0,1/01/2021,14/03/2021
RLA,0.07,Williax,29,1/01/2021,28/03/2021
RLA,0.07,Canal N,1,1/01/2021,28/03/2021
RLA,0.07,RPP,2,1/01/2021,28/03/2021
RLA,0.07,Latina,3,1/01/2021,28/03/2021
RLA,0.07,ATV,2,1/01/2021,28/03/2021
RLA,0.07,Panam,3,1/01/2021,28/03/2021
RLA,0.07,TV Peru,2,1/01/2021,28/03/2021
RLA,0.07,America,1,1/01/2021,28/03/2021
CA,0.04,Williax,12,1/01/2021,28/03/2021
CA,0.04,Canal N,4,1/01/2021,28/03/2021
CA,0.04,RPP,6,1/01/2021,28/03/2021
CA,0.04,Latina,3,1/01/2021,28/03/2021
CA,0.04,ATV,4,1/01/2021,28/03/2021
CA,0.04,Panam,3,1/01/2021,28/03/2021
CA,0.04,TV Peru,2,1/01/2021,28/03/2021
CA,0.04,America,2,1/01/2021,28/03/2021
HdS,0.12,Williax,9,1/01/2021,28/03/2021
HdS,0.12,Canal N,3,1/01/2021,28/03/2021
HdS,0.12,RPP,2,1/01/2021,28/03/2021
HdS,0.12,Latina,3,1/01/2021,28/03/2021
HdS,0.12,ATV,0,1/01/2021,28/03/2021
HdS,0.12,Panam,6,1/01/2021,28/03/2021
HdS,0.12,TV Peru,1,1/01/2021,28/03/2021
HdS,0.12,America,2,1/01/2021,28/03/2021
KF,0.09,Williax,7,1/01/2021,28/03/2021
